vocabulary_size,classifier_accuracy,rejections
100,0.531824,0
200,0.593459,0
300,0.645283,0
400,0.667925,0
500,0.683019,0
600,0.696352,0
700,0.70239,0
800,0.715472,0
900,0.722013,0
1000,0.725283,0
1100,0.730566,0
1200,0.734843,0
1300,0.73761,0
1400,0.741635,0
1500,0.746667,0
1600,0.749686,0
1700,0.752956,0
1800,0.753962,0
1900,0.755723,0
2000,0.760252,0
2000,0.760252,0
3000,0.781132,0
4000,0.790692,0
5000,0.803019,0
6000,0.805031,0
7000,0.809057,0
8000,0.813585,0
9000,0.815346,0
10000,0.815346,0
11000,0.820377,0
12000,0.822138,0
13000,0.82566,0
14000,0.82717,0
15000,0.825912,0
16000,0.830189,0
17000,0.831447,0
18000,0.830189,0
19000,0.832453,0
20000,0.833459,0
21000,0.834214,0
22000,0.83673,0
23000,0.837736,0
24000,0.838239,0
25000,0.839497,0
26000,0.84,0
27000,0.841006,0
28000,0.841761,0
29000,0.843019,0
30000,0.844528,0
31000,0.844025,0
32000,0.844025,0
33000,0.844277,0
34000,0.844528,0
35000,0.844277,0
36000,0.844528,0
37000,0.84327,0
38000,0.844528,0
39000,0.845031,0
40000,0.845535,0
41000,0.846038,0
42000,0.845786,0
43000,0.845535,0
44000,0.845535,0
45000,0.846038,0
46000,0.846038,0
47000,0.846792,0
48000,0.846792,0
49000,0.847296,0
50000,0.846792,0
51000,0.847044,0
52000,0.846792,0
53000,0.846792,0
54000,0.846792,0
55000,0.846541,0
56000,0.847044,0
57000,0.846792,0
58000,0.846038,0
59000,0.845535,0
60000,0.845283,0
61000,0.845031,0
62000,0.844528,0
63000,0.844528,0
64000,0.845031,0
65000,0.84478,0
66000,0.84478,0
67000,0.845283,0
68000,0.844528,0
69000,0.84478,0
70000,0.844277,0
71000,0.84478,0
72000,0.845031,0
73000,0.845535,0
74000,0.845786,0
75000,0.845786,0
76000,0.846038,0
77000,0.845786,0
78000,0.845786,0
79000,0.84478,0
80000,0.846038,0
81000,0.846038,0
82000,0.846289,0
83000,0.846289,0
84000,0.846038,0
85000,0.846038,0
86000,0.845786,0
87000,0.845031,0
88000,0.845031,0
89000,0.845283,0
90000,0.845535,0
91000,0.845283,0
92000,0.845535,0
93000,0.845535,0
